,City,Latitude,Longitude,Max Temperature,Humidity,Clouds,Wind,Country,Date
124,hanyang,32.1371,105.5126,67.35,93,100,1.9,CN,1624662057
125,hami,42.8,93.45,74.88,29,39,2.26,CN,1624662057
126,kodinsk,58.6881,99.1844,54.1,98,100,6.67,RU,1624662058
127,mayo,38.8876,-76.5119,82.26,64,78,5.99,US,1624662058
128,komsomolskiy,40.4272,71.7189,73.56,33,35,6.02,UZ,1624662058
129,clyde river,70.4692,-68.5914,34.45,96,100,9.55,CA,1624662059
130,abu samrah,35.3029,37.1841,76.3,52,0,6.58,SY,1624662059
131,hobart,-42.8794,147.3294,47.05,87,20,3.0,AU,1624662059
132,portland,45.5234,-122.6762,96.62,41,7,1.01,US,1624661957
133,margarita,9.3314,-79.8889,83.89,77,93,5.12,PA,1624662060
134,dikson,73.5069,80.5464,31.6,92,56,7.92,RU,1624662060
135,veselynove,47.3567,31.2349,74.79,78,7,7.0,UA,1624662061
136,los llanos de aridane,28.6585,-17.9182,65.95,64,90,11.5,ES,1624662061
137,bluff,-46.6,168.3333,49.8,93,82,8.59,NZ,1624662062
138,seoul,37.5683,126.9778,69.4,91,90,3.44,KR,1624661997
139,ibajay,11.8199,122.162,81.23,78,48,1.39,PH,1624662063
140,narsaq,60.9167,-46.05,53.82,68,90,3.22,GL,1624662063
141,moerai,-22.4333,-151.3333,76.26,87,72,19.08,PF,1624662063
142,araouane,18.9048,-3.5265,90.27,33,37,7.25,ML,1624662064
143,durango,24.8333,-104.8333,84.43,24,79,11.81,MX,1624661973
144,padang,-0.9492,100.3543,76.24,90,100,3.42,ID,1624662064
145,comodoro rivadavia,-45.8667,-67.5,45.86,48,69,20.98,AR,1624662065
146,east london,-33.0153,27.9116,65.21,44,21,17.16,ZA,1624662065
147,fortuna,40.5982,-124.1573,89.19,77,20,16.11,US,1624662065
148,tezu,27.9167,96.1667,74.91,96,87,2.53,IN,1624662066
149,la rioja,42.25,-2.5,61.05,79,90,3.42,ES,1624661897
150,kruisfontein,-34.0033,24.7314,54.88,58,6,8.48,ZA,1624661810
151,guerrero negro,27.9769,-114.0611,72.34,65,3,21.32,MX,1624662067
152,fremont,37.5483,-121.9886,93.2,58,1,17.27,US,1624662067
153,mugur-aksy,50.35,90.5,38.88,84,60,4.23,RU,1624662067
154,faya,18.3851,42.4509,70.66,17,100,0.78,SA,1624662068
155,ayan,56.45,138.1667,52.92,73,0,8.34,RU,1624662068
156,chauk,20.8833,94.8167,78.87,83,71,13.78,MM,1624662068
157,ternate,0.8,127.4,80.71,79,93,2.84,ID,1624662069
158,belyy yar,53.6039,91.3903,53.49,82,0,8.95,RU,1624662069
159,kuznechnoye,61.12,29.8686,69.46,98,99,1.66,RU,1624662070
160,wagar,16.1525,36.2032,82.49,45,91,13.09,SD,1624662070
161,qaanaaq,77.484,-69.3632,39.7,75,79,1.43,GL,1624662071
162,touros,-5.1989,-35.4608,78.21,72,8,18.68,BR,1624662071
163,huoqiu,32.3394,116.2694,74.5,89,100,1.61,CN,1624662071
164,angouleme,45.65,0.15,61.03,76,0,4.61,FR,1624662072
165,necochea,-38.5473,-58.7368,48.04,69,96,10.11,AR,1624662072
166,wamba,8.9333,8.6,75.79,77,35,1.61,NG,1624662072
167,megion,61.0296,76.1136,53.62,70,100,6.53,RU,1624662073
168,hithadhoo,-0.6,73.0833,82.35,67,99,8.12,MV,1624662073
169,vila velha,-20.3297,-40.2925,69.75,83,20,3.44,BR,1624661909
170,jiwani,25.05,61.7417,83.71,80,0,7.47,PK,1624662074
171,laela,-8.5667,32.05,53.96,65,1,3.51,TZ,1624662074
172,baculin,7.4525,126.5842,80.17,81,80,2.68,PH,1624662075
173,turukhansk,65.8167,87.9833,45.52,63,100,15.88,RU,1624662075
174,richards bay,-28.783,32.0377,62.15,74,12,7.0,ZA,1624662076
175,kloulklubed,7.0419,134.2556,84.52,73,97,8.23,PW,1624662076
176,bambous virieux,-20.3428,57.7575,67.21,80,86,15.03,MU,1624662076
177,upington,-28.4478,21.2561,50.18,67,4,10.8,ZA,1624662077
178,emerald,-23.5333,148.1667,59.14,100,90,12.66,AU,1624662077
179,carinhanha,-14.3047,-43.765,73.4,33,0,4.36,BR,1624662077
180,port lincoln,-34.7333,135.8667,52.56,74,98,8.61,AU,1624662078
181,zhuhai,22.2769,113.5678,81.7,89,40,2.3,CN,1624662078
182,kasongo-lunda,-6.4667,16.8167,72.81,45,11,1.54,CD,1624662079
183,khatanga,71.9667,102.5,46.27,51,100,9.95,RU,1624662079
184,illela,13.7292,5.2975,86.56,46,26,10.27,NG,1624662080
185,road town,18.4167,-64.6167,82.2,78,83,17.07,VG,1624662080
186,laguna,38.421,-121.4238,100.2,34,1,5.01,US,1624662080
187,te anau,-45.4167,167.7167,50.4,90,41,0.56,NZ,1624662081
188,mastic beach,40.7668,-72.8521,73.44,77,40,5.01,US,1624662081
189,chernyshevskiy,63.0128,112.4714,65.59,76,99,5.66,RU,1624662082
190,saint-honore,48.5334,-71.0824,63.59,96,100,6.02,CA,1624662082
191,ketchikan,55.3422,-131.6461,70.02,74,84,4.05,US,1624662082
192,tautira,-17.7333,-149.15,84.22,77,38,17.65,PF,1624662083
193,puerto leguizamo,-0.1934,-74.7819,74.01,95,77,2.19,CO,1624662083
194,mae tha,18.4646,99.1403,75.79,93,95,1.05,TH,1624662084
195,chokurdakh,70.6333,147.9167,77.11,27,99,18.5,RU,1624662084
196,hargeysa,9.56,44.065,69.8,62,81,27.2,SO,1624662084
197,sovetskiy,61.3614,63.5842,56.46,64,99,5.23,RU,1624662085
198,oktyabrskiy,54.4815,53.471,69.51,91,100,4.21,RU,1624662085
199,kolpashevo,58.3131,82.9089,48.56,91,100,6.6,RU,1624662086
200,gunjur,13.2019,-16.7339,80.67,94,40,0.0,GM,1624662086
201,hofn,64.2539,-15.2082,50.13,93,100,22.3,IS,1624662086
202,grand gaube,-20.0064,57.6608,67.37,82,56,5.01,MU,1624662087
203,lompoc,34.6391,-120.4579,81.01,71,3,8.01,US,1624661899
204,vilyuysk,63.7553,121.6247,70.47,71,42,3.56,RU,1624662087
205,aklavik,68.2191,-135.0107,55.09,59,82,21.14,CA,1624662088
206,tuatapere,-46.1333,167.6833,49.82,92,83,0.85,NZ,1624662088
207,beringovskiy,63.05,179.3167,39.81,87,30,11.5,RU,1624662088
208,russell,32.3502,-85.1999,85.71,60,27,8.7,US,1624662089
209,jasper,37.2001,-94.3502,92.28,56,28,5.99,US,1624661972
210,havre-saint-pierre,50.2334,-63.5986,68.59,56,1,6.91,CA,1624661917
211,alice springs,-23.7,133.8833,36.95,93,4,0.0,AU,1624662090
212,amapa,1.0,-52.0,70.47,98,42,2.39,BR,1624662090
213,uhlove,44.8215,33.6045,69.82,89,81,2.37,UA,1624662091
214,makakilo city,21.3469,-158.0858,83.68,59,53,3.42,US,1624662091
215,muskegon,43.3,-86.1334,73.74,92,90,0.0,US,1624662075
216,najran,17.4924,44.1277,79.18,15,98,4.99,SA,1624662092
217,juegang,32.3174,121.1855,72.5,91,100,11.36,CN,1624662092
218,san quintin,30.4833,-115.95,70.92,68,1,18.57,MX,1624662093
219,isangel,-19.55,169.2667,76.17,63,20,21.77,VU,1624662093
220,mahon,39.8885,4.2658,68.56,77,0,4.61,ES,1624662093
221,ust-nera,64.5667,143.2,72.03,33,11,4.79,RU,1624662094
222,ahipara,-35.1667,173.1667,62.02,85,98,11.92,NZ,1624662094
223,corinto,37.9407,22.9573,86.85,57,5,2.08,GR,1624662000
224,namibe,-15.1961,12.1522,67.75,68,18,3.31,AO,1624662095
225,ulychne,49.2338,23.6511,60.66,97,60,4.81,UA,1624662095
226,vardo,70.3705,31.1107,47.32,81,41,11.63,NO,1624662096
227,victoria,22.2855,114.1577,81.95,95,94,1.99,HK,1624661948
228,mustasaari,63.1142,21.6822,60.24,88,0,8.05,FI,1624662096
229,almenara,-16.1836,-40.6944,65.44,62,3,0.81,BR,1624662096
230,coquimbo,-29.9533,-71.3436,57.52,80,81,6.42,CL,1624662097
231,talara,-4.5772,-81.2719,66.18,88,97,21.14,PE,1624662097
232,cockburn town,21.4612,-71.1419,80.42,80,98,16.26,TC,1624662098
233,asyut,27.181,31.1837,85.1,27,0,4.85,EG,1624662050
234,zunheboto,25.9667,94.5167,64.76,99,100,1.61,IN,1624662098
235,vieques,18.425,-65.8329,82.44,78,100,11.3,PR,1624662098
236,the valley,18.217,-63.0578,80.1,79,45,18.07,AI,1624662099
237,sobolevo,54.4299,31.8996,63.43,96,100,10.18,RU,1624662099
238,chapais,49.7834,-74.8492,62.38,95,100,10.04,CA,1624662100
239,varhaug,58.6147,5.6457,57.85,93,21,7.27,NO,1624662100
240,buala,-8.145,159.5921,82.81,74,86,5.32,SB,1624662100
241,talnakh,69.4865,88.3972,43.18,67,100,22.5,RU,1624662101
242,kristiansund,63.1115,7.732,53.65,76,90,9.22,NO,1624662101
243,tessalit,20.1986,1.0114,91.15,24,74,7.78,ML,1624662102
244,ingham,42.6,-84.3833,75.15,92,90,6.91,US,1624662102
245,khokhlovo,59.1492,37.3998,67.53,76,27,2.48,RU,1624662102
246,san pedro,14.35,121.0167,83.1,85,94,1.77,PH,1624662103
247,marzuq,14.4,46.4667,77.41,39,43,6.02,YE,1624662103
248,toora-khem,52.4675,96.11,46.94,94,94,1.72,RU,1624662104
249,erenhot,43.6475,111.9767,69.93,51,60,4.45,CN,1624662104
250,gualaceo,-2.9,-78.7833,57.47,86,30,4.68,EC,1624662104
251,poum,-20.2333,164.0167,76.3,66,49,16.13,NC,1624662105
252,sola,-13.8833,167.55,79.07,63,47,22.75,VU,1624662105
253,romny,50.751,33.4747,66.7,94,69,9.15,UA,1624662106
254,paracuru,-3.41,-39.0306,81.1,78,7,11.54,BR,1624662106
255,sarishabari,24.7333,89.8333,80.13,90,88,10.78,BD,1624662107
256,manitouwadge,49.1215,-85.8403,74.17,46,65,6.49,CA,1624662107
257,oyama,36.3,139.8,79.83,72,85,1.99,JP,1624662107
258,ambon,-3.6954,128.1814,75.34,94,20,9.22,ID,1624662108
259,sahuaripa,29.05,-109.2333,103.96,24,6,10.96,MX,1624662071
260,cubuk,40.2386,33.0322,63.77,94,40,3.44,TR,1624662108
261,lata,40.1629,-8.3327,61.81,65,39,1.3,PT,1624662109
262,vila franca do campo,37.7167,-25.4333,66.61,93,100,8.55,PT,1624662109
263,avanigadda,16.0215,80.9181,84.49,62,93,8.32,IN,1624662109
264,hamilton,39.1834,-84.5333,83.12,75,99,3.0,US,1624661954
265,provideniya,64.3833,-173.3,43.92,84,100,4.03,RU,1624662110
266,baiersbronn,48.5,8.3833,57.13,97,13,1.5,DE,1624662110
267,zhigansk,66.7697,123.3711,67.14,61,4,10.42,RU,1624662111
268,avera,33.194,-82.5271,85.68,39,22,4.9,US,1624662111
269,ambilobe,-13.2,49.05,65.05,88,1,3.47,MG,1624662112
270,koslan,63.4564,48.8989,55.0,98,57,3.91,RU,1624662112
271,pemangkat,1.1667,108.9667,77.7,87,90,4.12,ID,1624662112
272,saint-philippe,-21.3585,55.7679,69.35,78,43,6.89,RE,1624662113
273,malanville,11.8685,3.3899,79.3,68,45,11.1,BJ,1624662113
274,sainte-maxime,43.3,6.6333,73.44,74,0,3.83,FR,1624662113
275,meridian,43.6121,-116.3915,93.33,27,32,5.01,US,1624662013
276,ilhabela,-23.7781,-45.3581,70.05,78,38,2.84,BR,1624661905
277,hirara,24.8,125.2833,82.67,94,75,10.36,JP,1624662114
278,cidreira,-30.1811,-50.2056,58.03,72,7,5.19,BR,1624662115
279,praia da vitoria,38.7333,-27.0667,68.76,90,84,7.61,PT,1624662115
280,airai,-8.9266,125.4092,61.36,90,47,3.38,TL,1624662115
281,simao,22.7886,100.9748,65.73,99,100,1.92,CN,1624662116
282,rio grande,-32.035,-52.0986,52.95,71,19,6.46,BR,1624662116
283,orlik,52.5178,99.825,56.01,73,84,4.88,RU,1624662116
284,klaksvik,62.2266,-6.589,50.92,79,93,10.89,FO,1624662117
285,cabo san lucas,22.8909,-109.9124,96.51,71,31,12.59,MX,1624662117
286,kyabe,9.4515,18.9449,79.68,63,17,2.39,TD,1624662118
287,tallahassee,30.4383,-84.2807,78.64,91,75,9.22,US,1624661962
288,uruzgan,32.8333,66.0,68.43,12,0,6.46,AF,1624662118
289,evensk,61.95,159.2333,67.17,53,89,9.91,RU,1624662119
290,okhotsk,59.3833,143.3,62.78,60,71,5.91,RU,1624662119
291,srednekolymsk,67.45,153.6833,75.24,27,58,9.93,RU,1624662119
292,bintulu,3.1667,113.0333,75.15,91,77,5.39,MY,1624662120
293,bosaso,11.2842,49.1816,91.83,40,44,17.45,SO,1624662120
294,nanortalik,60.1432,-45.2371,44.73,79,14,4.27,GL,1624662121
295,donskoye,45.4552,41.9741,75.33,85,1,6.89,RU,1624662121
296,banda aceh,5.5577,95.3222,79.45,80,88,12.21,ID,1624662006
297,mongoumba,3.6415,18.5936,72.63,80,29,1.77,CF,1624662121
298,ciudad bolivar,8.1222,-63.5497,84.4,61,61,5.17,VE,1624662122
299,port shepstone,-30.7414,30.455,64.17,60,7,7.56,ZA,1624662122
300,waingapu,-9.6567,120.2641,77.47,81,33,4.83,ID,1624662123
301,notre-dame-du-lac,47.6136,-68.7964,71.87,56,99,5.46,CA,1624662123
302,haines junction,60.7522,-137.5108,61.41,62,100,10.74,CA,1624662124
303,jumla,29.2747,82.1838,57.45,93,58,2.46,NP,1624662078
304,sur,22.5667,59.5289,86.94,54,0,15.35,OM,1624662124
305,oga,46.4631,10.347,52.36,90,33,3.06,IT,1624662125
306,henties bay,-22.116,14.2845,58.64,76,0,6.78,NA,1624662125
307,amahai,-3.3333,128.9167,79.03,84,74,2.53,ID,1624662126
308,coihaique,-45.5752,-72.0662,39.81,81,20,2.3,CL,1624661940
309,rybinsk,58.0446,38.8426,67.32,88,66,4.05,RU,1624662126
310,sisimiut,66.9395,-53.6735,42.66,86,100,9.6,GL,1624662126
311,itarema,-2.9248,-39.9167,77.52,81,9,8.16,BR,1624662127
312,yarmouth,41.7057,-70.2286,72.45,89,90,8.01,US,1624662127
313,kerugoya,-0.4989,37.2803,58.69,87,100,1.74,KE,1624662128
314,petauke,-14.2426,31.3253,58.08,55,0,4.59,ZM,1624662128
315,longyearbyen,78.2186,15.6401,37.24,87,75,4.61,SJ,1624662128
316,manyoni,-5.7467,34.8382,57.99,70,3,4.32,TZ,1624662129
317,lardos,36.0942,28.0157,84.02,57,0,8.84,GR,1624662129
318,yegros,-26.45,-56.4,63.16,64,92,3.62,PY,1624662130
319,riyadh,24.6877,46.7219,88.97,8,1,4.47,SA,1624662112
320,kandrian,-6.2167,149.55,80.31,84,95,7.54,PG,1624662130
321,yambio,4.5721,28.3955,69.17,75,19,3.09,SS,1624662130
322,nikolskoye,59.7035,30.7861,69.69,98,80,3.04,RU,1624662131
323,algeciras,36.1333,-5.4505,73.17,93,6,10.4,ES,1624662131
324,jaciara,-15.9653,-54.9683,76.21,35,1,3.6,BR,1624662132
325,tilichiki,60.4667,166.1,60.69,64,7,2.33,RU,1624662132
326,antsohihy,-14.8796,47.9875,65.08,79,0,4.76,MG,1624662132
327,qandala,11.472,49.8728,89.19,55,58,6.15,SO,1624662133
328,taoudenni,22.6783,-3.9836,100.87,11,17,7.54,ML,1624662133
329,vostok,46.4856,135.8833,71.15,50,35,4.72,RU,1624662133
330,gariaband,20.635,82.0614,75.34,87,63,4.25,IN,1624662134
331,feodosiya,45.0333,35.3833,71.55,84,8,4.88,UA,1624662134
332,severo-kurilsk,50.6789,156.125,44.33,97,100,5.14,RU,1624662135
333,esperance,-33.8667,121.9,49.44,72,1,9.95,AU,1624662135
334,jhalrapatan,24.55,76.1667,79.88,67,99,8.9,IN,1624662135
335,naryan-mar,67.6713,53.087,46.58,61,9,6.55,RU,1624662136
336,hanko,59.8333,22.95,64.35,88,36,7.38,FI,1624662136
337,mikkeli,61.6886,27.2723,68.11,88,0,3.44,FI,1624662136
338,forest lake,45.2789,-92.9852,86.04,41,100,3.0,US,1624662137
339,barrow,71.2906,-156.7887,37.42,70,90,16.11,US,1624662137
340,dicabisagan,17.0818,122.4157,81.88,76,98,5.19,PH,1624662138
341,mount isa,-20.7333,139.5,51.57,76,1,9.22,AU,1624662057
342,shingu,33.7333,135.9833,73.9,75,100,2.3,JP,1624662138
343,plettenberg bay,-34.0527,23.3716,55.63,64,14,8.77,ZA,1624662138
344,imeni poliny osipenko,52.4201,136.4853,54.52,83,100,4.99,RU,1624662139
345,augusta,48.3667,10.8833,60.06,94,40,3.44,DE,1624661852
346,oranjestad,12.524,-70.027,81.91,81,15,11.01,AW,1624662081
347,jalu,29.0331,21.5482,87.03,27,2,7.72,LY,1624662140
348,anloga,5.7947,0.8973,79.97,81,85,10.38,GH,1624662140
349,gat,31.61,34.7642,81.39,69,0,3.06,IL,1624662140
350,muzhi,65.3667,64.6667,54.73,77,100,4.56,RU,1624662141
351,bozuyuk,39.9078,30.0367,63.66,86,0,5.88,TR,1624662141
352,mogocha,53.7333,119.7667,68.59,69,46,2.04,RU,1624662141
353,dukat,62.55,155.55,65.7,35,81,9.35,RU,1624662142
354,yar-sale,66.8333,70.8333,46.26,52,34,5.77,RU,1624662142
355,letnyaya stavka,45.4306,43.4472,73.09,60,4,5.79,RU,1624662143
356,shanghai,31.2222,121.4581,75.87,98,75,11.18,CN,1624661950
357,cayenne,4.9333,-52.3333,82.09,79,0,4.0,GF,1624662143
358,birao,10.2849,22.7882,79.43,67,58,4.63,CF,1624662144
359,zomin,39.9606,68.3958,65.26,28,73,4.32,UZ,1624662144
360,miandrivazo,-19.5167,45.4667,63.7,62,4,1.01,MG,1624662144
361,faanui,-16.4833,-151.75,81.63,76,15,16.11,PF,1624662145
362,luderitz,-26.6481,15.1594,58.14,73,8,9.57,NA,1624662145
363,pevek,69.7008,170.3133,34.56,80,37,1.54,RU,1624662112
364,rocha,-34.4833,-54.3333,49.78,83,86,3.83,UY,1624662087
365,wabana,47.6332,-52.9481,59.07,60,0,8.43,CA,1624662146
366,belmonte,-15.8631,-38.8828,71.98,72,22,8.05,BR,1624662146
367,kashi,39.4547,75.9797,78.22,22,8,4.18,CN,1624662147
368,norman wells,65.282,-126.8329,72.79,53,69,8.5,CA,1624662147
369,krasnogorskoye,52.2953,86.1979,44.73,92,14,2.86,RU,1624662147
