,City,Latitude,Longitude,Max Temperature,Humidity,Clouds,Wind,Country,Date
0,san patricio,28.017,-97.5169,92.12,60,16,17.65,US,1624662003
1,katsuura,35.1333,140.3,79.23,77,82,6.96,JP,1624662004
2,hobyo,5.3505,48.5268,77.27,84,97,25.46,SO,1624662004
3,linjiang,41.8069,126.9078,69.89,72,97,2.35,CN,1624662004
4,rikitea,-23.1203,-134.9692,74.26,74,11,3.53,PF,1624662005
5,hermanus,-34.4187,19.2345,57.79,76,39,24.9,ZA,1624662005
6,walvis bay,-22.9575,14.5053,60.33,54,0,9.04,NA,1624662006
7,jatai,-17.8814,-51.7144,71.37,35,23,5.5,BR,1624662007
8,san cristobal,7.7669,-72.225,69.64,88,98,3.8,VE,1624662007
9,tevaitoa,-16.7833,-151.5,81.46,76,12,16.82,PF,1624662007
10,port elizabeth,-33.918,25.5701,57.09,53,6,9.91,ZA,1624662008
11,krasnoselkup,65.7,82.4667,45.01,66,28,17.6,RU,1624662008
12,port hardy,50.6996,-127.4199,64.58,82,20,5.75,CA,1624661914
13,yellowknife,62.456,-114.3525,73.56,43,79,8.99,CA,1624662009
14,bealanana,-14.55,48.7333,55.8,97,52,3.27,MG,1624662010
15,darab,28.7519,54.5444,80.11,9,0,7.99,IR,1624662010
16,gizo,-8.103,156.8419,81.36,75,87,7.18,SB,1624662010
17,san jose,37.3394,-121.895,93.09,54,1,1.01,US,1624661749
18,yeppoon,-23.1333,150.7333,65.98,92,99,2.98,AU,1624662011
19,minna,9.6139,6.5569,73.26,91,95,4.59,NG,1624662011
20,lagoa,39.05,-27.9833,66.63,81,60,8.59,PT,1624662012
21,flinders,-34.5833,150.8552,57.38,72,7,4.0,AU,1624662013
22,palauig,15.435,119.9045,81.84,78,76,6.24,PH,1624662013
23,iqaluit,63.7506,-68.5145,41.7,70,87,18.99,CA,1624662013
24,selfoss,63.9331,-20.9971,48.04,92,100,14.2,IS,1624662014
25,thompson,55.7435,-97.8558,68.14,59,88,3.85,CA,1624662014
26,mahebourg,-20.4081,57.7,67.24,80,84,14.63,MU,1624662015
27,grindavik,63.8424,-22.4338,46.9,100,75,21.85,IS,1624662015
28,santa cruz del norte,23.1539,-81.9236,81.59,75,100,16.35,CU,1624662015
29,castro,-24.7911,-50.0119,59.2,88,3,3.47,BR,1624662016
30,puerto ayora,-0.7393,-90.3518,72.55,94,68,7.0,EC,1624662016
31,codrington,-38.2667,141.9667,48.2,76,98,7.4,AU,1624662017
32,hovd,48.0056,91.6419,54.61,39,48,2.86,MN,1624662017
33,arraial do cabo,-22.9661,-42.0278,71.76,82,4,21.68,BR,1624662018
34,atuona,-9.8,-139.0333,79.02,77,16,17.74,PF,1624662018
35,cherskiy,68.75,161.3,62.82,29,23,6.85,RU,1624662019
36,vung tau,10.346,107.0843,80.78,82,88,7.45,VN,1624662019
37,sitka,57.0531,-135.33,55.29,88,90,18.41,US,1624662019
38,broken hill,-31.95,141.4333,46.67,84,12,7.7,AU,1624662020
39,geraldton,-28.7667,114.6,46.81,81,62,14.97,AU,1624662020
40,kahului,20.8947,-156.47,77.02,74,66,4.81,US,1624662021
41,lavrentiya,65.5833,-171.0,39.99,85,100,5.82,RU,1624662021
42,jerecuaro,20.15,-100.5167,61.99,55,72,6.31,MX,1624662022
43,georgetown,5.4112,100.3354,78.89,93,20,0.0,MY,1624661945
44,fairview,40.8126,-73.999,80.64,73,1,5.01,US,1624662013
45,port alfred,-33.5906,26.891,59.04,58,8,13.6,ZA,1624662022
46,ushuaia,-54.8,-68.3,33.69,89,79,7.58,AR,1624662023
47,saint-francois,46.4154,3.9054,57.18,89,0,3.44,FR,1624662023
48,new norfolk,-42.7826,147.0587,46.71,83,82,4.0,AU,1624662024
49,sao felix do xingu,-6.6447,-51.995,75.15,69,19,2.15,BR,1624662024
50,khorramshahr,30.4397,48.1664,97.74,11,0,11.95,IR,1624662025
51,socorro,31.6546,-106.3033,102.38,17,20,23.02,US,1624662025
52,santa cecilia,-26.9608,-50.4269,53.65,99,28,2.48,BR,1624662026
53,upernavik,72.7868,-56.1549,41.49,73,100,19.93,GL,1624662026
54,busselton,-33.65,115.3333,45.05,78,51,10.94,AU,1624662026
55,atar,20.5169,-13.0499,95.4,14,26,5.59,MR,1624662027
56,bethel,41.3712,-73.414,77.72,71,84,6.04,US,1624661941
57,carnarvon,-24.8667,113.6333,59.09,42,58,15.66,AU,1624662027
58,kapaa,22.0752,-159.319,83.48,77,70,4.0,US,1624662028
59,vaini,-21.2,-175.2,72.84,60,62,25.52,TO,1624662028
60,bandarbeyla,9.4942,50.8122,77.02,83,87,30.11,SO,1624662029
61,chuy,-33.6971,-53.4616,51.51,81,68,3.36,UY,1624662030
62,kodiak,57.79,-152.4072,47.62,93,100,12.5,US,1624662030
63,caravelas,-17.7125,-39.2481,69.44,77,11,5.95,BR,1624662031
64,mataura,-46.1927,168.8643,49.48,96,83,1.14,NZ,1624662031
65,saskylakh,71.9167,114.0833,44.29,77,100,10.56,RU,1624662031
66,punta arenas,-53.15,-70.9167,35.11,74,39,18.28,CL,1624662032
67,bredasdorp,-34.5322,20.0403,57.27,71,4,23.78,ZA,1624662033
68,qaqortoq,60.7167,-46.0333,54.1,79,76,5.08,GL,1624662033
69,tayu,-6.5397,111.0518,76.71,88,41,5.44,ID,1624662033
70,rio gallegos,-51.6226,-69.2181,36.77,69,55,31.05,AR,1624662034
71,anau,-16.5167,-151.7333,81.54,76,14,16.13,PF,1624662034
72,butaritari,3.0707,172.7902,82.44,73,100,11.43,KI,1624662035
73,lebu,-37.6167,-73.65,47.32,71,12,11.16,CL,1624662035
74,jamestown,42.097,-79.2353,78.03,62,100,4.0,US,1624661788
75,avarua,-21.2078,-159.775,77.05,94,75,11.5,CK,1624661953
76,kaitangata,-46.2817,169.8464,48.78,93,81,2.91,NZ,1624662036
77,mahajanga,-15.7167,46.3167,71.53,71,28,7.78,MG,1624662037
78,teknaf,20.8624,92.3058,77.85,92,40,9.48,BD,1624662037
79,cape town,-33.9258,18.4232,59.41,68,75,7.0,ZA,1624661863
80,ribeira grande,38.5167,-28.7,68.36,80,68,9.98,PT,1624662038
81,tabou,4.423,-7.3528,74.79,89,99,3.11,CI,1624662039
82,mar del plata,-38.0023,-57.5575,55.87,64,100,8.99,AR,1624662039
83,tuktoyaktuk,69.4541,-133.0374,38.48,83,67,17.67,CA,1624662039
84,pangody,65.85,74.4859,45.63,57,72,8.59,RU,1624662040
85,nuuk,64.1835,-51.7216,43.41,93,75,8.05,GL,1624662040
86,bengkulu,-3.8004,102.2655,74.95,87,37,4.14,ID,1624662041
87,tiksi,71.6872,128.8694,47.68,76,96,10.25,RU,1624662041
88,mabaruma,8.2,-59.7833,75.81,88,94,4.18,GY,1624662042
89,jining,35.405,116.5814,79.0,1,19,8.86,CN,1624662042
90,pakxan,18.3778,103.6601,75.11,93,100,2.44,LA,1624662043
91,sioux lookout,50.1001,-91.917,78.13,37,100,5.21,CA,1624662043
92,sao raimundo nonato,-9.0153,-42.6994,75.38,48,30,3.24,BR,1624661775
93,hilo,19.7297,-155.09,83.8,75,32,4.0,US,1624662044
94,ostrovnoy,68.0531,39.5131,53.17,89,90,11.01,RU,1624662044
95,nichinan,31.6,131.3667,71.76,79,100,5.66,JP,1624662045
96,ancud,-41.8697,-73.8203,43.52,73,46,6.58,CL,1624662045
97,bhadrapur,26.544,88.0944,76.89,91,6,8.37,NP,1624662045
98,morro bay,35.3658,-120.8499,91.18,72,17,14.0,US,1624662046
99,bourges,47.25,2.4167,61.12,87,87,3.13,FR,1624662046
100,auki,-8.7676,160.7034,80.55,82,90,3.02,SB,1624662047
101,ilulissat,69.2167,-51.1,50.02,46,100,14.97,GL,1624662047
102,ponta do sol,32.6667,-17.1,68.0,65,42,3.98,PT,1624662048
103,tasiilaq,65.6145,-37.6368,57.36,54,0,11.95,GL,1624662048
104,amberley,39.2048,-84.428,82.44,74,99,1.99,US,1624662049
105,oussouye,12.485,-16.5469,79.29,84,100,10.89,SN,1624662049
106,yumen,40.2833,97.2,68.27,27,72,7.99,CN,1624662049
107,saint george,37.1041,-113.5841,98.8,14,1,1.01,US,1624662050
108,mehamn,71.0357,27.8492,46.27,89,45,20.4,NO,1624662050
109,pimentel,-6.8367,-79.9342,66.99,82,23,5.01,PE,1624662051
110,bangui,4.3612,18.555,75.33,71,27,0.72,CF,1624662051
111,mount gambier,-37.8333,140.7667,46.92,81,97,5.06,AU,1624662051
112,kangaatsiaq,68.3065,-53.4641,40.86,85,100,9.53,GL,1624662052
113,albany,42.6001,-73.9662,79.0,52,100,7.34,US,1624662009
114,ust-tsilma,65.441,52.1498,51.66,80,95,3.94,RU,1624662052
115,kirovskiy,45.0917,133.5136,69.98,61,11,4.99,RU,1624662053
116,kurumkan,54.3,110.3,67.06,78,96,2.13,RU,1624662053
117,harper,4.375,-7.7169,74.46,88,98,3.76,LR,1624662053
118,arnprior,45.4334,-76.3494,75.88,76,100,6.85,CA,1624661757
119,vrangel,42.7297,133.0839,63.75,80,0,4.68,RU,1624662054
120,bellavista,-7.0561,-76.5911,77.13,70,49,0.81,PE,1624662055
121,kidal,18.4411,1.4078,90.52,25,69,7.76,ML,1624662055
122,celestun,20.8667,-90.4,84.29,67,100,17.74,MX,1624662056
123,sao filipe,14.8961,-24.4956,74.79,81,58,5.19,CV,1624662056
