,Latitude,Longitude,Max Temperature,Humidity,Clouds,Wind,Date
count,560.0,560.0,560.0,560.0,560.0,560.0,560.0
mean,18.461211964285713,18.03944267857143,69.31039285714286,71.69642857142857,56.275,7.212071428571429,1624746216.7892857
std,33.59880208761096,91.86766162551483,14.654428217873027,20.964933361960732,39.210994086417664,4.796379149586519,81.79595381381515
min,-54.8,-175.2,29.75,6.0,0.0,0.0,1624745835.0
25%,-8.4667,-59.99895000000001,58.165,61.0,14.0,3.8325,1624746169.75
50%,20.8807,23.74805,71.58,78.0,73.0,6.0600000000000005,1624746222.5
75%,46.5752,98.7815,79.71000000000001,87.0,96.0,9.245,1624746278.25
max,78.2186,178.4167,111.79,100.0,100.0,26.17,1624746336.0
